sku	asin	price	quantity
10217103USA	0446619280	12.75	56
103974306	0897936507	17.70	10
10517106USA	0446619337	12.75	56
10617107USA	0446619442	12.75	71
10717108USA	0446619345	12.75	37
10817109USA	0446619353	12.75	43
10917110USA	0446619450	12.75	86
11017111USA	0446619361	12.75	84
11117112USA	044661937X	12.75	86
11317114USA	0446619396	12.75	67
11417115USA	0446583731	12.75	64
1231731USA	0671318195	11.70	16
12417341USA	084318003X	10.30	41
12617343USA	0843172940	10.30	25
12717344USA	0843172940	10.30	78
12817345USA	0843173823	10.30	99
1291738	0843189258	7.80	197
1301740USA	0843189231	7.80	203
13317497	0929643259	45.00	14
13517602	0937609692	12.95	52
13618298China	0762439998	31.50	7
13818301	3836526611	33.20	6
14018303	0312109407	17.20	62
14218307	1934734810	23.45	5
14318308	3836511150	76.50	3
14418311	3836503050	28.50	16
14518317	0060591676	29.00	7
14718330	1848568479	21.20	15
14818331	0811871266	20.70	13
15418612UK	076244097X	15.10	13
15518613China	1934429953	29.20	22
15618704USA	0615442323	29.25	26
15818710USA	061527210X	25.50	28
15918711UK	0762446005	15.70	6
25226792China	0843172991	18.20	82
3639B00001USA	0425263916	24.00	19
3640B00002	1440552525	25.50	56
3643B00005UK	0762444355	15.20	5
3644B00006Singapore	1592335101	33.00	27
3647B00009Singapore	1592335438	31.50	86
3648B00010USA	0989813800	18.20	23
3650B00012South Korea	383653214X	14.20	16
3651B00013South Korea	3836532158	14.20	34
3654B00016Korea	1612431127	28.50	51
3655B00017USA	1612432751	15.70	45
3663B00025USA	1573449040	28.50	31
3666B00028USA	1573448168	16.20	10
3667B00029USA	1573448184	15.70	3
3668B00030USA	1573448214	15.70	32
3674B00036USA	1616083115	15.70	15
3675B00037USA	189015976X	15.20	6
3678B00041USA	0770435548	21.00	42
3679B00042USA	1592408257	16.20	21
3682B00045USA	1616087552	14.45	50
3683B00046USA	1612430155	24.00	13
3684B00047USA	042526596X	16.20	16
3686B00049	3836539705	33.70	3
3687B00050	3836535513	35.25	1
3690B00053USA	1612430570	24.00	2
3693B00056UK	1780972989	12.95	59
3694B00057USA	0985403217	27.75	14
3697B00060China	1604332921	15.75	23
3698B00062USA	1608680924	16.20	8
3699B00063Singapore	1592335543	18.70	11
3700B00064USA	1626360898	14.45	47
3702B00066Singapore	1592335551	33.00	17
3703B00067China	0345806751	27.75	10
3708B00072China	B00B8OSQG2	13.50	35
3710B00074USA	1580054412	16.20	11
3712B00076USA	1573449008	16.20	24
