sku	asin	price	quantity
3713B00077USA	1573449369	16.20	32
3714B00078USA	157344927X	16.20	8
3715B00079USA	1573449245	16.20	48
3716B00080USA	1573449253	25.50	37
3717B00082USA	1573449326	16.20	8
3719B00084USA	1476731535	15.70	47
3720B00085China	144055451X	14.95	48
3721B00086USA	145559945X	15.70	46
3723B00088	3836544032	17.20	13
3725B00090USA	1612432298	17.20	34
3726B00091USA	1612432409	25.50	55
3727B00092EU	076244813X	22.50	20
3728B00093USA	0425267040	15.70	71
3729B00094USA	0425267040	15.70	34
3730B00095USA	0425267083	24.00	24
3731B00096USA	1476754144	12.95	83
3732B00097Canada	0973668806	63.00	21
3733B00098China	1465415823	16.20	14
3735B00100USA	1416209204	12.95	29
3736B00101USA	1476755108	12.95	66
3737B00102USA	1476751404	15.70	48
3738B00103	0804171203	15.95	9
3739B00105USA	0062301519	21.70	72
3741B00107USA	055341920X	15.95	23
3742B00108CHINA	1618371606	15.75	95
3744B00112	0957592205	28.70	9
3745B00113	0937609676	12.95	16
3747B00115	1629142077	27.00	13
3748B00116	1629145262	24.00	41
3750B00118	095700379X	17.20	13
3751B00119	0957003781	17.20	23
3752B00120	1909181080	16.70	11
3753B00122	076117169X	16.70	33
3755B00130EU	0762452285	15.70	23
3756B00131	0957423209	15.70	88
4058B00111EU	0762452250	15.70	7
4272B00121USA	1402293372	15.70	31
4273B00110	0989813843	27.00	25
427432576Hong Kong	1250041147	15.20	51
4278B00133USA	1476748047	15.70	52
4279B00134USA	1627780939	16.20	26
428817347USA	0843180722	10.30	69
428917348USA	0843182377	10.30	103
42930013China	0615376630	49.50	17
430301USA	0962962872	22.70	11
43330422USA	1402224540	19.20	10
43530487USA	0802122590	20.70	11
43630945USA	1416585265	15.20	50
43730947Singapore	1616280735	18.20	22
43830948USA	1600940234	16.70	20
44030982USA	1573449725	24.00	59
44130983Singapore	1592333567	33.00	33
442310USA	0940208377	27.00	7
443312USA	0940208237	15.00	21
45131218China	1626360162	15.70	7
45231219China	1626360308	14.45	31
4533217USA	0671761773	16.70	15
4553220USA	1573443204	25.50	10
45632205USA	1573441732	16.20	20
456526897China	1859063845	16.70	21
4603226USA	1573442143	16.70	23
461333450China	1627780718	19.20	13
46432365USA	1573443409	15.70	21
46732373USA	1573444154	15.70	13
47032381USA	1573443824	15.70	3
47132382UK	0762449470	15.20	7
47232383USA	0804136866	15.95	13
47332384Italy	0762449446	28.50	21
47432385USA	1626361010	19.70	35
47932423USA	1573449342	16.20	18
48032424USA	1573449644	16.20	15
48132425USA	1573449628	25.50	20
48232426USA	1573449636	16.20	25
4833243USA	076790754X	22.50	9
4843244Hong Kong	0743203909	31.50	10
4853247USA	0452281423	25.50	78
4863248USA	0452281431	25.50	37
4883250USA	0452294754	32.70	35
48932501USA	1573447161	15.70	6
49032502USA	1573447242	15.70	39
49132525USA	1580051529	16.70	7
49232528USA	0767916565	13.20	249
49332541USA	1573443212	15.70	8
49432542USA	1573443255	15.70	27
49532543USA	1573443700	15.70	37
49632544USA	1573443166	15.70	12
49732545USA	1573447137	15.70	9
49832546USA	1573444065	15.70	13
49932547USA	1573447129	15.70	10
5013257China	1588169715	31.50	176
50432573	1629144762	14.45	41
50532574	1629144754	15.70	20
50732585USA	1580053637	17.20	6
50832621Korea	1612430287	16.70	52
50932622USA	1573442356	14.45	48
51032623USA	1573441252	15.70	19
51132624USA	1573441287	15.70	4
51332688Hong Kong	1844839931	15.75	49
51432689China	1588169219	28.50	40
51532690USA	0446691275	25.50	242
51632692USA	0761138099	12.45	70
51732698Hong Kong	1844837076	15.75	18
5193270USA	0679769560	19.95	21
52232725USA	157344295X	17.20	8
52332729USA	0743288009	22.50	20
52432731China	0756657903	17.70	27
52632745Singapore	1592333915	18.70	31
52732754Singapore	1587613301	27.00	78
52832755USA	1402286767	16.70	31
53032874USA	1580053033	16.70	11
5310043USA	0062305492	14.45	43
5313289USA	0897937023	17.20	57
532329USA	055337396X	17.45	32
53332917USA	1580055257	16.20	26
53432918Singapore	1592335918	27.00	25
5363292USA	0762415606	13.20	3
53732921Singapore	1592335748	18.70	25
53832950USA	1890159271	13.70	7
53932951Singapore	1592333397	31.50	7
54032953Singapore	1592334369	18.70	25
5413332China	0811855511	14.45	3
54233448Canada	0060012749	17.70	16
54333449Hong Kong	1847327141	20.25	44
54533451USA	1627780610	16.20	11
54633452USA	162778070X	16.20	15
54733455China	1594744564	15.75	27
54833459USA	0399536493	12.95	16
5493346USA	0743212657	16.20	15
55233463USA	158761085X	16.45	37
553335USA	1885535759	45.75	188
55433586USA	1587612909	16.95	41
5553359USA	0061235202	16.70	12
55633593USA	0307406598	15.20	18
557336USA	0767902874	31.50	27
5583362USA	0767904524	18.20	20
55933626USA	0060539100	17.70	13
56133631China	1847324126	12.75	5
56233632China	1847328075	12.75	39
56333633Hong Kong	1847328644	27.00	7
567337China	0965327523	22.70	26
56933712Korea	1623260078	28.70	47
57033713USA	0804138087	14.95	57
571015	0762416084	9.45	62
57133746China	1592336035	22.20	42
57233749Singapore	0756639794	25.50	52
57533912Hong Kong	1847327397	14.45	51
57733914China	1847322018	15.90	84
57833915China	1847322123	15.90	56
57933918USA	0738213985	16.20	20
5812202	1441305246	12.95	89
58133921Singapore	1592334253	18.70	59
58433928USA	1593598521	13.55	64
58533929Hong Kong	184732715X	20.25	87
5863393USA	1573447609	25.50	6
58833935USA	1402207727	13.55	49
58933936	1623260647	12.95	30
59233939China	1592336116	31.50	39
5933397USA	0767916573	16.50	74
59433972China	1847320147	15.90	110
59633974China	1847323626	20.25	34
59734152USA	1573442801	15.70	9
59834153China	1847324118	12.75	86
599343USA	1573441589	22.95	17
60034518USA	1568583338	25.50	15
6012214	0600620824	20.70	21
6013452USA	1890159719	16.20	6
6023456USA	1569243093	18.35	31
604348USA	0939263173	19.50	21
6053482USA	0061898074	16.70	37
6063483USA	0062516140	16.20	47
6073484USA	0062513362	16.20	46
60934854Hong Kong	1844831469	31.50	16
61034856USA	0425202461	15.20	35
6112215China	1592334474	17.20	44
61134858Hong Kong	1402708890	9.00	79
61234861USA	1573447110	17.20	48
61334862Singapore	1592334865	18.70	41
61734869Poland	9186283723	12.95	11
61834910USA	1583333924	18.20	23
61934913USA	1580053386	16.70	17
62034916Singapore	1842221531	13.00	73
6212216	1844839664	15.75	72
62234941Singapore	1592334806	33.00	3
62334942Singapore	1592334563	33.00	49
62434943	0811856801	63.00	4
62534944Singapore	1592335071	15.95	3
62634946Canada	0811859908	20.25	32
62734948Thailand	0811839575	12.70	161
62934954China	1604333081	14.25	65
63034955China	1604334509	15.75	57
63134956USA	0897936507	17.20	48
63234964Canada	1594743363	16.70	22
63334966China	1592333931	17.70	79
63534974USA	1569759367	14.45	23
6363525China	140274238X	15.75	17
63735251USA	0446693553	25.50	27
6383526USA	0446679747	16.20	13
63935261USA	0446692433	16.20	20
6403527USA	0446677825	15.20	15
6412219	1780974450	31.50	80
6413528USA	0446677353	16.20	29
6423529USA	0446678848	25.50	32
64435292USA	044655748X	16.20	25
65035313USA	1627780084	16.20	42
6512220	1780974353	15.75	63
65135314USA	1627780300	24.00	55
65235315USA	1627780041	16.20	49
65335316	0937609706	12.95	25
65435317USA	141620928X	12.95	19
65635338USA	1573443093	15.70	32
65735347EU	0762439947	15.20	16
6593537USA	1890159387	42.00	50
6612558	158816599X	15.75	236
6623542USA	1580052193	16.20	15
6633543USA	0517886073	15.20	16
66535456USA	0767926064	15.45	17
66635457USA	1590303644	17.45	37
6673564USA	0399534369	16.20	31
6683567USA	0061547336	15.20	44
6693568USA	0060989092	15.70	46
6712559	1402206860	15.00	3
67236232Singapore	0756659906	30.00	17
67336233China	1465414428	17.70	3
6743632	0743258533	18.20	40
67536322Singapore	1569756554	28.50	52
67636323Singapore	0756671477	20.70	69
67736326USA	1583333533	15.70	19
67836336USA	0060586311	20.20	21
68036338USA	1930722273	16.70	14
681256	1402203527	15.00	33
68136339USA	0060538260	25.50	46
6823634Korea	0939263246	24.00	52
68436342USA	0756657385	16.70	31
68736352Singapore	1858688655	13.00	28
6883647USA	0425202690	17.20	14
69036491China	1847320163	15.90	53
6912562	1620873346	14.45	46
69136494Singapore	1569757291	14.20	29
69236495Singapore	1592333850	33.00	103
695365USA	0963976389	20.20	33
69636505USA	0425229831	15.70	13
701257	1844832546	16.05	3
70336574USA	1627780289	34.50	23
70436575USA	1627780378	16.20	17
70536576USA	1573446521	15.70	15
71036584USA	1573446475	25.50	14
7112572	1588168786	31.50	23
71336587Canada	0973668822	47.25	9
715369USA	1890159352	15.20	24
716371USA	189015900X	14.20	14
7173720USA	0060928026	21.00	41
71837201Canada	1931160945	39.00	46
7193724USA	1890159131	16.20	34
7212573USA	B009DYB6DO	78.00	40
7213727USA	1890159727	25.50	5
722373USA	1890159115	13.70	10
7233745USA	1890159190	25.50	11
72437452USA	157344779X	18.20	31
72537453USA	0937609587	18.20	26
7263746Canada	0977723801	49.50	64
7273748USA	0897934458	16.70	44
72837486Canada	1931160694	35.25	165
729375USA	1890159360	15.20	34
730376USA	0965071669	27.00	12
73137602Canada	1931160996	20.70	47
7343772Canada	097066110X	14.70	126
7353773Canada	097066110X	21.00	23
7363774Canada	0970661126	21.00	165
73737741USA	1573442739	15.70	60
73837742Canada	0970661142	25.50	73
73937743USA	0991491424	23.25	101
74133	1562010352	12.95	35
7423865USA	1573441996	20.70	6
7433872USA	157344278X	15.70	61
74438801USA	157344720X	16.70	23
7453881USA	0812991958	16.20	16
746389USA	1587613379	25.50	98
747390USA	1573442216	27.00	13
7483901USA	157344121X	27.00	41
7493904USA	1573443980	27.00	14
75039048USA	1573443042	30.00	15
7513567USA	0345803485	16.45	652
7513905USA	1573443875	16.70	44
7523907Canada	1402205171	20.25	30
75339078Canada	1569755639	14.65	8
75439085USA	1568582951	16.20	4
7553909USA	0553381148	17.20	18
75639095USA	1569756791	15.20	47
75739100USA	1890159026	14.70	7
75839117Spain	8498675693	21.70	17
76039120USA	1603960384	34.50	3
7613568USA	0345803493	16.45	290
76139121USA	159820971X	34.50	2
76239123USA	1589860004	38.25	12
7653985USA	1881943224	28.50	27
76639865USA	0452285550	15.70	19
7673991USA	1890159239	15.70	15
76839935USA	1569758700	16.70	26
770401Singapore	0789404370	13.95	205
7713569USA	0345803507	16.45	308
77240250Singapore	1592333869	33.00	10
77440252Hong Kong	1844838005	18.20	25
77540422Hong Kong	1620877988	24.00	36
77640432Singapore	0756633540	19.20	3
77740434Singapore	0756633532	25.50	39
77840452China	1465402098	17.70	10
77940453USA	093760965X	22.20	12
78040474Singapore	0756689619	31.50	26
78140492	162914469X	20.70	40
7814300	1580052517	25.50	15
782407Singapore	0789450720	15.20	28
7844083Singapore	075660530X	27.75	41
7864092Singapore	0756605261	15.20	17
78740921USA	1569759383	14.45	20
78840926USA	158005157X	15.70	21
78940982Canada	1569756031	13.00	77
79240986USA	0060753641	15.20	12
79440991USA	1569242763	16.70	45
79540993USA	1580050751	16.20	14
79640997Korea	1569757194	28.50	67
79740998USA	1569756252	15.20	47
79840999	0761174753	16.20	4
80141018China	1402755678	8.25	31
80441029USA	0345498607	16.45	22
80641037USA	0767928210	19.50	20
80741038USA	1439190666	22.45	16
80841039USA	0743274873	16.70	32
80941040USA	1580052754	17.20	6
81041042USA	1402208944	12.95	11
81141043USA	1402206836	10.95	49
81168	1416567011	25.50	9
81241044USA	1402206828	10.95	83
81441046USA	1402202008	10.95	3
81641060USA	089793511X	18.00	59
81841062USA	0897935136	18.00	3
82141072USA	160550033X	14.45	30
82241073USA	1598699032	13.45	13
82341074USA	1440510806	13.95	28
82441075USA	1440510768	13.95	71
82541076Canada	1593374798	12.75	8
82641077USA	144050637X	13.45	11
82841079USA	1440510997	14.45	43
83041085USA	1934734993	20.25	4
83149973USA	0385345224	18.70	79
83349975Korea	0743289803	16.20	10
851705	0446610305	12.75	5
881708USA	0446611794	12.75	3
891709USA	0446612340	12.75	3
9117092USA	0446612995	12.75	3
9517096USA	0446613088	12.75	27
9617097USA	0446613134	12.75	8
9917100USA	0446612987	12.75	13
14618325	3836526603	33.20	0
3652B00014	3836536013	35.25	0
3653B00015	3836534851	39.00	0
44731214Hong Kong	158761006X	17.95	0
45031217China	1620876116	83.97	0
72037241USA	1890159999	42.00	0
76339130	9707703334	14.70	0
77340251Korea	1569757410	19.50	0
81341045USA	1402201990	10.95	0
