sku	asin	price	quantity
465036363USA	0525427996	22.74	26
466140478	0892810882	17.64	19
466313566	1101946342	16.88	41
466532915USA	1558618724	21.21	12
467932914USA	1627781293	17.13	24
468032913	0452298253	13.82	28
469032723USA	0983830959	24.78	27
470834877	1602862826	19.68	9
470934881	1881943135	16.62	7
47132382UK	0762449470	15.60	3
471332743	1627781463	16.62	11
471432742	1627781188	16.62	7
471534872Hong Kong	1592336795	20.19	29
47232383USA	0804136866	16.37	17
472334876	1476762090	17.13	35
47432385USA	1626361010	20.19	23
47632391USA	1627780866	17.13	14
4769B00117Hong Kong	0615417965	22.49	14
47732420USA	1627780033	16.62	4
479230493USA	1455591769	16.62	14
47932423USA	1573449342	16.62	14
479740000Hong Kong	1632204916	17.64	15
48132425USA	1573449628	16.62	7
48232426USA	1573449636	16.62	27
4833243USA	076790754X	16.11	34
4843244Hong Kong	0743203909	19.68	29
4853247USA	0452281423	16.62	58
486134878Hong Kong	1632203278	18.66	18
4863248USA	0452281431	16.62	41
4873249USA	0452281458	16.62	29
4883250USA	0452294754	33.45	27
489529201China	1454916869	16.11	19
489634873China	1618371932	17.64	63
489734874	1618371924	16.11	41
49032502USA	1573447242	16.11	17
49132525USA	1580051529	17.13	11
491917125USA	0446583766	13.31	40
492036362China	0867193719	15.43	78
49232528USA	0767916565	13.56	42
49332541USA	1573443212	16.11	6
49432542USA	1573443255	16.11	20
49532543USA	1573443700	16.11	11
495432620	1627781455	16.62	21
49632544USA	1573443166	16.11	8
49732545USA	1573447137	16.11	9
49832546USA	1573444065	16.11	3
498918302Italy	3836520214	14.58	16
499018304	3836520443	19.94	8
49932547USA	1573447129	16.11	10
500534870China	1592337058	16.11	15
5010000USA	0425276767	16.62	35
5013257China	1588169715	18.66	37
50332572	1629144738	14.84	18
503434871USA	1592337031	20.19	32
503534875USA	0425280659	16.62	7
503617126USA	0446583715	13.31	29
503712203	1943893055	17.13	56
504734880	1634505743	16.11	20
504834879	1634503449	16.11	16
50532574	1629144754	16.11	36
50732585USA	1580053637	17.64	17
50832621Korea	1612430287	17.13	24
508331220	1592337201	18.66	32
508426903China	145214527X	16.11	11
50932622USA	1573442356	14.84	34
509333926	1627781560	17.13	12
509433927	1627781552	16.62	25
509533624USA	1627781544	17.13	10
509633625USA	1627781536	17.13	22
5110025	0880880783	11.16	2062
513117499	3836559064	27.08	10
51332688Hong Kong	1844839931	13.31	68
51432689China	1588169219	17.64	18
51632692USA	0761138099	13.31	58
517536572	0937609765	16.62	18
5176B00019USA	1250109302	16.62	29
518327USA	0939263025	14.58	13
5193270USA	0679769560	20.19	18
5210042	0740742272	11.16	40
521929078	B008VUIIPU	15.04	44
52232725USA	157344295X	17.64	7
52332729USA	0743288009	15.60	8
52432731China	0756657903	18.15	9
52632745Singapore	1592333915	19.17	41
52732754Singapore	1587613301	17.13	28
52832755USA	1402286767	17.13	9
53032874USA	1580053033	17.13	8
5310043USA	0062305492	14.84	12
5313289USA	0897937023	17.64	50
532329USA	055337396X	17.90	26
53332917USA	1580055257	16.62	15
53432918Singapore	1592335918	17.13	14
53532919Singapore	1592335934	21.72	12
53832950USA	1890159271	14.07	13
54032953Singapore	1592334369	19.17	9
54233448Canada	0060012749	18.66	12
54333449Hong Kong	1847327141	14.84	56
54533451USA	1627780610	16.62	14
54633452USA	162778070X	16.62	6
54733455China	1594744564	13.31	12
5493346USA	0743212657	16.62	10
55033461USA	0345442113	17.13	16
55133462USA	0440508460	16.88	18
55233463USA	158761085X	16.88	25
553335USA	1885535759	23.51	267
55433586USA	1587612909	17.39	25
5553359USA	0061235202	17.13	19
55633593USA	0307406598	15.60	27
557336USA	0767902874	18.66	15
5583362USA	0767904524	18.66	4
5610091China	0770434517	13.56	86
56133631China	1847324126	12.29	32
56233632China	1847328075	13.31	94
56433634USA	0062300318	10.14	48
56533635USA	0062300334	10.14	45
56633636USA	0062300350	10.14	31
567337China	0965327523	23.25	24
5683371USA	1890159514	15.09	7
56933712Korea	1623260078	29.37	21
57033713USA	0804138087	15.60	17
571015	0762416084	11.16	6
57133746China	1592336035	22.74	17
57233749Singapore	0756639794	16.62	55
57333750China	1592336140	22.74	12
